Port,Ship,State
THPNA/AYI04 (บริษัท เวทย์วิชัยเจริญขนส่ง จำกัด ),RATTANATHANAKIJ 168,Arrival
THPNA/AYI04 (บริษัท เวทย์วิชัยเจริญขนส่ง จำกัด ),RATTANATHANAKIJ 168,Depature
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 4,Arrival
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 5,Arrival
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 4,Depature
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 5,Depature
THBKK/B20AB (ท่าเรือกรุงเทพ (ท่า 20 AB) ),CAPE FAWLEY,Arrival
THBKK/B20AB (ท่าเรือกรุงเทพ (ท่า 20 AB) ),CAPE FAWLEY,Depature
THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),UNIQUE 12,Arrival
THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),UNIQUE 12,Depature
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Arrival
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 40,Arrival
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 40,Depature
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Depature
THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Arrival
THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Depature
THBPK/BGP18 (ท่าเทียบเรือ บริษัท ไทยวา จำกัด (มหาชน) ท่าหมายเลข2 ),,Arrival
THBKK/BK18A (- ),BKK 1,Arrival
THBKK/BK18A (- ),BKK 1,Depature
THBKK/BK18D (- ),V.L. 19,Arrival
THBKK/BK18D (- ),V.L. 19,Depature
