,Port,Ship,State
0,THBKK/B18EF (บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน)(ท่า 18 EF) ),V.L. 20,Depature
1,THBKK/B18EF (บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน)(ท่า 18 EF) ),V.L. 20,Arrival
2,THBKK/B20AB (ท่าเรือกรุงเทพ (ท่า 20 AB) ),MAERSK NORESUND,Arrival
3,THBKK/BK11B (บริษัท ทรัพย์ศรีไทยคลังสินค้า จำกัด ),PACIFIC BRAVE,Arrival
4,THBKK/BK11B (บริษัท ทรัพย์ศรีไทยคลังสินค้า จำกัด ),PACIFIC BRAVE,Arrival
5,THBKK/BK11B (บริษัท ทรัพย์ศรีไทยคลังสินค้า จำกัด ),PACIFIC BRAVE,Arrival
6,THBKK/BK16A (- ),IVONE,Arrival
7,THBKK/BK16A (- ),IVONE,Arrival
8,THBKK/BK16A (- ),IVONE,Arrival
9,THBKK/BK18B (- ),PATCHARAWADEE 10,Arrival
10,THBKK/BK18B (- ),PATCHARAWADEE 10,Depature
11,THBKK/BK18C (- ),NAPAPA,Arrival
12,THBKK/BK18C (- ),NAPAPA,Depature
13,THBKK/BK18D (- ),V.L. 24,Arrival
14,THBKK/BK18D (- ),V.L. 24,Depature
15,THBKK/BK18G (- ),AMITA,Arrival
16,THBKK/BK18G (- ),AMITA,Depature
17,THBKK/BK20C (ท่าหมายเลข 20 C ),WAN HAI 172,Depature
18,THBKK/BK20E (ท่าหมายเลข 20 E ),CUL BANGKOK,Arrival
19,THBKK/BK20E (ท่าหมายเลข 20 E ),CUL BANGKOK,Arrival
20,THBKK/BK20F (ท่าหมายเลข 20 F ),SITC GUANGXI,Depature
21,THBKK/BK20F (ท่าหมายเลข 20 F ),SITC GUANGXI,Depature
22,THBKK/BK20F (ท่าหมายเลข 20 F ),WAN HAI 172,Arrival
23,THBKK/BK20F (ท่าหมายเลข 20 F ),WAN HAI 172,Depature
24,THBKK/BK20G (ท่าหมายเลข 20 G ),PINNCHAREON 3,Arrival
25,THBKK/BK20G (ท่าหมายเลข 20 G ),PINNCHAREON 3,Depature
26,THBKK/BK21A (ท่าเรือหมายเลข 21A บริษัท ทีเจ แลนด์ จำกัด (ท่า 21 A) ),GREENSEA BERMEO,Arrival
27,THBKK/BK21A (ท่าเรือหมายเลข 21A บริษัท ทีเจ แลนด์ จำกัด (ท่า 21 A) ),GREENSEA BERMEO,Arrival
28,THBKK/BK22A (ท่าหมายเลข 22 A ),SITC GUANGXI,Arrival
29,THBKK/BK22G (ท่าหมายเลข 22 G ),KOOKYANG SINGAPORE,Arrival
30,THBKK/BK22G (ท่าหมายเลข 22 G ),KOOKYANG SINGAPORE,Arrival
31,THBKK/BK22G (ท่าหมายเลข 22 G ),KOOKYANG SINGAPORE,Arrival
32,THBKK/BK22G (ท่าหมายเลข 22 G ),KOOKYANG SINGAPORE,Arrival
33,THBKK/BK33A (บ.เค.ดับบลิว.ซี คลังสินค้า จำกัด (BK33A) ),SALGIR,Arrival
34,THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),LERT PHRAWWILAI,Arrival
35,THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),LERT PHRAWWILAI,Depature
36,THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),PINNCHAREON 2,Arrival
37,THBKK/BKK1C (ท่าเรือบริษัท ซี.อาร์.ซี. การท่าเรือ จำกัด (ท่าหมายเลข 1C) ),SAMUT CHEDI,Depature
38,THBKK/BKK1C (ท่าเรือบริษัท ซี.อาร์.ซี. การท่าเรือ จำกัด (ท่าหมายเลข 1C) ),SAMUT CHEDI,Arrival
39,THBKK/BKK21 (- ),SILVER LIBRA,Arrival
40,THBKK/BKK21 (- ),SILVER LIBRA,Depature
41,THBKK/BKK21 (- ),SILVER LIBRA,Arrival
42,THBKK/BKK2D (- ),EAGLE ASIA 12,Depature
43,THBKK/BKK32 (บ.ไทยดำรงพัฒนา จำกัด (ท่า ๓๒) ),NATPASSORN,Arrival
44,THBKK/BKK5A (- ),EASTERN NEPTUNE,Arrival
45,THBKK/BKK5A (- ),EASTERN NEPTUNE,Depature
46,THBKK/BKK5A (- ),EASTERN NEPTUNE,Depature
47,THBKK/BKK5A (- ),EASTERN NEPTUNE,Arrival
48,THBKK/BKK5A (- ),EASTERN NEPTUNE,Arrival
49,THBKK/BKK5C (- ),GOLDEN HACHI,Depature
50,THBKK/BKK5C (- ),EAGLE ASIA 12,Arrival
51,THBKK/BKK5C (- ),GOLDEN HACHI,Depature
52,THBKK/BKK5C (- ),EAGLE ASIA 12,Depature
53,THBKK/BKK7A (- ),HANYU EMPIRE,Depature
54,THBKK/BKK7A (- ),HANYU EMPIRE,Depature
55,THBKK/BKK7A (- ),TASCO PHOENIX,Arrival
56,THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),Pilatus46,Depature
57,THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),Pilatus46,Arrival
58,THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 33,Depature
59,THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 33,Arrival
60,THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),PATCHARAWADEE 15,Arrival
61,THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),UNIQUE 12,Arrival
62,THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),VAREEWAN,Arrival
63,THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 41,Arrival
64,THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Arrival
65,THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 41,Depature
66,THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Depature
67,THBPK/BGP10 (ท่าเทียบเรือบริษัท พีเคมารีน เทรดดิ้ง จำกัด ),OCEAN MARINE,Depature
68,THBPK/BGP10 (ท่าเทียบเรือบริษัท พีเคมารีน เทรดดิ้ง จำกัด ),OCEAN MARINE,Arrival
69,THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Arrival
70,THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Depature
71,THCHL/CL001 (ท่าเทียบเรืออ่าวฉลอง ),KUNDALINII 1,Depature
72,THKBV/KBV01 (ท่าเรือเซ้าเทิร์นพอร์ท ),SHAHRIAR JAHAN,Arrival
73,THKBV/KBV08 (กระบี่โบ๊ทลากูน ),Madam1,Depature
74,THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
75,THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
76,THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
77,THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),RUNGREANG-KAONA,Arrival
78,THKBV/KBV15 (พอร์ต ตะโกลา ),DISCOVERY,Depature
79,THKHA/NTK05 (โรงแยกก๊าซขนอม บ.ปตท.จำกัด ),P P 3,Arrival
80,THKHA/NTK05 (โรงแยกก๊าซขนอม บ.ปตท.จำกัด ),P P 3,Depature
81,THKSI/KOHAG (KOHSICHANG AREA G ),O.N.V.,Arrival
82,THKSI/KOHAG (KOHSICHANG AREA G ),GOLDEN HACHI,Arrival
83,THKSI/KOHAG (KOHSICHANG AREA G ),GOLDEN HACHI,Depature
84,THKSI/KOHAG (KOHSICHANG AREA G ),O.N.V.,Depature
85,THKSI/TPPB1 (SIAM TANK TERMINAL BERTH 1 ),PUSAKA BORNEO,Arrival
86,THKSI/TPPB2 (SIAM TANK TERMINAL  BERTH 2 ),B.P.P. 28,Depature
87,THKSI/TPPB2 (SIAM TANK TERMINAL  BERTH 2 ),B.P.P. 28,Arrival
88,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),BIG SEA 101,Depature
89,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),BIG SEA 101,Arrival
90,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),A C S 38,Arrival
91,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),A C S 38,Depature
92,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),P.R.INTER 1,Arrival
93,THKSI/TPPB3 (SIAM TANK TERMINAL  BERTH 3 ),P.R.INTER 1,Depature
94,THLCH/LCBA0 (LAEMCHABANG A 0 ),CONTSHIP WAY,Arrival
95,THLCH/LCBA0 (LAEMCHABANG A 0 ),KMTC ULSAN,Arrival
96,THLCH/LCBA0 (LAEMCHABANG A 0 ),SAWASDEE ALTAIR,Arrival
